timestamp,Roll,Pitch,Yaw,Speed
2025-07-18T17:02:10.035,-1.94,3.84,5.41,0.0005
2025-07-18T17:02:10.932,-1.92,3.76,5.28,0.0052
2025-07-18T17:02:11.113,-1.82,3.62,5.8,0.003
2025-07-18T17:02:11.114,-1.76,3.47,5.84,0.003
2025-07-18T17:02:11.232,-1.74,3.33,6.59,0.003
2025-07-18T17:02:11.236,-1.71,3.2,6.65,0.003
2025-07-18T17:02:11.236,-1.48,2.89,7.04,0.0077
2025-07-18T17:02:11.238,-1.31,2.85,6.55,0.003
2025-07-18T17:02:11.412,-1.18,2.55,7.08,0.0016
2025-07-18T17:02:11.532,-1.07,2.27,7.4,0.0031
2025-07-18T17:02:11.536,-1.14,2.04,7.72,0.004
2025-07-18T17:02:11.772,-1.38,1.84,8.4,0.0048
2025-07-18T17:02:12.611,-1.72,1.72,8.58,0.007
2025-07-18T17:02:12.674,-2.21,1.5,9.36,0.0041
2025-07-18T17:02:12.732,-2.78,1.35,9.58,0.0063
2025-07-18T17:02:12.974,-3.09,1.37,9.75,0.0045
2025-07-18T17:02:13.154,-3.25,1.49,10.07,0.0012
2025-07-18T17:02:13.213,-3.22,1.45,10.51,0.0016
2025-07-18T17:02:13.272,-3.27,1.49,10.34,0.0038
2025-07-18T17:02:13.392,-3.32,1.53,10.38,0.0038
2025-07-18T17:02:13.452,-3.1,1.58,10.39,0.0044
2025-07-18T17:02:13.455,-2.99,1.59,10.23,0.003
2025-07-18T17:02:13.457,-2.89,1.59,11.07,0.003
2025-07-18T17:02:13.514,-2.96,1.61,11.26,0.0038
2025-07-18T17:02:13.573,-2.85,1.61,11.29,0.003
2025-07-18T17:02:13.752,-2.67,1.67,10.34,0.0002
2025-07-18T17:02:13.814,-2.84,1.65,9.99,0.0024
2025-07-18T17:02:13.873,-2.91,1.68,10.15,0.0038
2025-07-18T17:02:14.052,-2.82,1.68,10.14,0.003
2025-07-18T17:02:14.113,-2.9,1.7,9.78,0.0038
2025-07-18T17:02:14.352,-2.97,1.72,9.94,0.0038
2025-07-18T17:02:14.355,-2.87,1.72,9.6,0.003
2025-07-18T17:02:14.414,-2.78,1.72,9.52,0.003
2025-07-18T17:02:14.771,-2.86,1.74,9.6,0.0038
2025-07-18T17:02:14.832,-2.94,1.75,9.22,0.0038
2025-07-18T17:02:14.953,-3.0,1.77,9.74,0.0038
2025-07-18T17:02:14.956,-2.89,1.76,10.19,0.003
2025-07-18T17:02:15.192,-2.96,1.77,10.05,0.0038
2025-07-18T17:02:15.553,-3.03,1.79,10.34,0.0038
2025-07-18T17:02:15.612,-3.08,1.8,10.17,0.0038
2025-07-18T17:02:16.214,-3.13,1.82,10.29,0.0038
2025-07-18T17:02:16.216,-3.18,1.83,9.63,0.0038
2025-07-18T17:02:16.220,-3.14,1.76,8.93,0.0016
2025-07-18T17:02:16.221,-3.16,1.77,8.92,0.0038
2025-07-18T17:02:16.334,-3.11,1.75,9.23,0.0038
2025-07-18T17:02:16.335,-3.27,1.68,9.23,0.0031
2025-07-18T17:02:16.338,-3.62,1.57,9.66,0.007
2025-07-18T17:02:16.393,-4.13,1.42,9.9,0.0061
2025-07-18T17:02:16.514,-4.78,1.24,10.44,0.0051
2025-07-18T17:02:16.632,-5.97,1.09,10.77,0.0003
2025-07-18T17:02:16.753,-7.11,0.85,10.89,0.0015
2025-07-18T17:02:16.813,-8.09,0.79,11.97,0.0003
2025-07-18T17:02:16.933,-9.12,0.62,12.07,0.0015
2025-07-18T17:02:17.053,-10.15,0.65,11.71,0.0022
2025-07-18T17:02:17.113,-11.25,0.39,11.53,0.0016
2025-07-18T17:02:17.232,-12.57,0.36,12.35,0.0004
2025-07-18T17:02:17.294,-13.68,0.35,12.43,0.0007
2025-07-18T17:02:17.472,-14.19,0.98,11.16,0.0039
2025-07-18T17:02:17.774,-14.24,1.04,11.26,0.0029
2025-07-18T17:02:17.774,-14.09,1.64,10.02,0.0033
2025-07-18T17:02:17.952,-12.53,2.27,15.57,0.0079
2025-07-18T17:02:17.954,-10.29,3.06,13.6,0.0011
2025-07-18T17:02:17.955,-6.48,4.26,11.55,0.023
2025-07-18T17:02:18.193,-5.95,3.63,9.87,0.0008
2025-07-18T17:02:18.193,-3.73,3.13,14.39,0.0115
2025-07-18T17:02:18.314,-1.57,2.5,13.08,0.0316
2025-07-18T17:02:18.373,-0.12,2.04,11.8,0.0075
2025-07-18T17:02:18.433,0.98,2.05,11.27,0.015
2025-07-18T17:02:18.553,1.44,1.95,11.42,0.0137
2025-07-18T17:02:18.673,1.95,1.01,11.83,0.0121
2025-07-18T17:02:18.794,3.26,0.03,10.11,0.0198
2025-07-18T17:02:18.913,3.5,-1.29,10.81,0.0187
2025-07-18T17:02:18.915,4.42,-2.4,11.09,0.0253
2025-07-18T17:02:19.032,5.52,-3.56,10.27,0.0256
2025-07-18T17:02:19.215,6.64,-4.99,15.29,0.0002
2025-07-18T17:02:19.215,8.04,-4.8,12.98,0.0216
2025-07-18T17:02:19.333,7.06,-4.4,12.1,0.0169
2025-07-18T17:02:19.454,9.76,-3.1,10.94,0.0078
2025-07-18T17:02:19.572,8.3,-3.11,10.04,0.0076
2025-07-18T17:02:19.633,7.2,-3.66,9.44,0.0108
2025-07-18T17:02:19.752,5.02,-2.96,9.01,0.0033
2025-07-18T17:02:19.993,2.33,-2.59,8.54,0.0065
2025-07-18T17:02:19.995,1.52,-1.82,8.32,0.0021
2025-07-18T17:02:20.053,0.01,-1.31,7.43,0.0016
2025-07-18T17:02:20.174,-1.28,-0.68,6.13,0.004
2025-07-18T17:02:20.233,-2.54,0.04,5.31,0.0006
2025-07-18T17:02:20.352,-4.34,1.77,10.64,0.0209
2025-07-18T17:02:20.472,7.49,3.97,8.99,0.1238
2025-07-18T17:02:20.594,6.44,3.55,8.31,0.0377
2025-07-18T17:02:20.652,7.47,4.71,8.48,0.116
2025-07-18T17:02:20.773,10.38,2.74,14.81,0.0049
2025-07-18T17:02:21.313,19.69,4.06,15.55,0.0001
2025-07-18T17:02:21.374,41.33,2.68,16.55,0.0852
2025-07-18T17:02:21.433,33.5,2.92,18.35,0.0058
2025-07-18T17:02:21.554,28.13,3.83,25.1,0.0172
2025-07-18T17:02:21.672,21.74,4.2,31.16,0.0005
2025-07-18T17:02:21.794,16.66,4.09,37.06,0.0076
2025-07-18T17:02:21.853,11.53,4.29,42.66,0.0298
2025-07-18T17:02:21.972,7.17,5.72,47.01,0.0553
2025-07-18T17:02:22.573,25.63,4.57,41.74,0.2582
2025-07-18T17:02:22.694,33.72,6.98,39.86,0.7096
2025-07-18T17:02:22.994,28.56,7.34,45.04,0.0054
2025-07-18T17:02:22.998,23.32,7.08,49.61,0.0008
2025-07-18T17:02:23.114,18.3,7.59,51.03,0.0256
2025-07-18T17:02:23.232,14.65,10.18,55.11,0.1207
2025-07-18T17:02:24.371,31.3,9.95,51.36,0.203
2025-07-18T17:02:24.374,44.36,10.19,48.67,0.5142
2025-07-18T17:02:24.377,37.18,10.67,53.27,0.004
2025-07-18T17:02:24.378,29.52,10.07,57.65,0.0242
2025-07-18T17:02:24.612,25.08,12.91,61.17,0.1042
2025-07-18T17:02:25.515,21.86,4.06,28.1,0.2365
